angle_cmd,speed_cmd,samples,speed_mps_median,speed_mps_mean,yaw_rate_dps_median,turn_radius_m_median,wheel_base_m_median,steering_gain_rad_per_cmd_median,steering_latency_sec_median,speed_latency_sec_median
-30.0,3.0,499,0.24100563502384048,0.2407337431690429,-12.78,1.0719272630479737,0.22175795668738055,0.009670184352439461,0.02420957799995449,0.11555737600019711
-30.0,5.0,498,0.40052015604681407,0.4008269750001306,-20.975,1.095693912786702,0.22667474895962747,0.00947165133617853,0.013125472999945487,0.09447190899982161
-20.0,3.0,498,0.23927178153446033,0.23999552610093602,-7.535,1.8190167550259744,0.24892286684969778,0.008706871737887756,0.08843266099984248,0.11555737600019711
-20.0,5.0,493,0.399653229302124,0.39897270059990275,-12.82,1.7989780871740377,0.2461806806462058,0.008801875841931334,0.002267137999751867,0.09447190899982161
-10.0,3.0,434,0.2432813177286519,0.2416368535752738,-2.625,5.094217246167772,0.34694169045071266,0.006232358963086521,0.06928512100012085,0.11555737600019711
-10.0,5.0,481,0.40073688773298655,0.3998974467114909,-4.3,5.204043122452468,0.35442138229190917,0.006092708718195712,0.03452952599991477,0.09447190899982161
10.0,3.0,500,0.24143909839618552,0.24002254009536192,7.860000000000001,1.7412432734665553,0.11858738165061043,0.01817487217523249,0.08687030000010054,0.11555737600019711
10.0,5.0,502,0.40073688773298655,0.3997460526338512,12.305,1.853689697684883,0.12624554592163606,0.01709438905603771,0.034455064999747265,0.09447190899982161
20.0,3.0,501,0.23970524490680536,0.2402001372201414,13.65,1.0058325130622716,0.1376428842836698,0.0154009409620394,0.08000705000040398,0.11555737600019711
20.0,5.0,501,0.4020372778500217,0.4004466143568952,21.16,1.0805475547826338,0.14786724441143662,0.014395870717032324,0.01705285600019124,0.09447190899982161
30.0,3.0,501,0.24187256176853056,0.24026978552647632,19.04,0.7180906625250765,0.14855701830462864,0.013973690270287916,0.06764607200011596,0.11555737600019711
30.0,5.0,501,0.400086692674469,0.3998673653992405,31.010000000000005,0.7429063488849802,0.15369083296787306,0.013557433514622907,0.085133469000084,0.09447190899982161
