index,x,y,yaw,s
0,8.64926958348203,7.420009550920498,-2.852326823557933,0.0
1,8.624638004374887,7.413357249995902,-2.8577000311962784,0.0255140705670982
2,8.600251476114211,7.405707363063372,-2.765385646842644,0.05107230858714118
3,8.550498850012692,7.384070707685377,-2.7312574440713266,0.10532605186761401
4,8.526366528426525,7.373565209437976,-2.731145145352517,0.13164590062410042
5,8.50287811487802,7.363347908930936,-2.724307851605461,0.1572603262603849
6,8.479403867957233,7.352745732170785,-2.7345024638533495,0.18301777994959068
7,8.455165112821884,7.342775203804295,-2.642042619463291,0.2092271043670273
8,8.408067580306742,7.313816209066058,-2.5975010035083663,0.26451544803243365
9,8.384884219755637,7.300254899859553,-2.5892276694560796,0.29137391622845854
10,8.338389945926645,7.2708694291067655,-2.569184799429709,0.3463759470114063
11,8.292979841124371,7.241034391955994,-2.584947597851028,0.4007101633022607
12,8.27223920518094,7.229704771107419,-2.607470182006726,0.424343493323871
13,8.252758638805878,7.2172448312930655,-2.586772263874332,0.4474679947556979
14,8.230566908589436,7.203878061546423,-2.7422515922112316,0.4733744307023713
15,8.18156694843063,7.187200748458888,-2.7425150030608445,0.5251347327434566
16,8.160535918133908,7.174345543341294,-2.691620671191939,0.5497834757937028
17,8.112601671496142,7.153889105166992,-2.7612323676284825,0.6019002472162427
18,8.06580073207555,7.136467522347917,-2.774147112971686,0.6518386040031032
19,8.042257821071722,7.126811835532153,-2.7948643302620244,0.6772846438996822
20,8.017796271560377,7.119122296714926,-2.8130610439470813,0.7029263367400098
21,7.9943004649082745,7.110463891006705,-2.79529673514192,0.727966722512619
22,7.969831200916236,7.10181474808155,-2.827064524881345,0.7539196135587396
23,7.946820948497775,7.095017496237631,-2.8716564489741336,0.7779128282035295
24,7.923029707740733,7.0888652684279885,-2.9099305880102984,0.8024866566350397
25,7.897750476994329,7.083441907851972,-2.9266383525804995,0.8283411020374736
26,7.872569806567292,7.077848492663853,-2.95774106127872,0.8541355288894437
27,7.820260560261793,7.069032543979508,-2.9961380223502903,0.9071824722533606
28,7.766670007036144,7.0623353174113905,-3.0075558756770344,0.9611898813629978
29,7.741515133276891,7.058414094526358,-2.9776380995474567,0.9866485471323969
30,7.716833617347266,7.05409040419729,-2.9907180761945895,1.0117059118510987
31,7.692575285111265,7.050973774748671,-3.103637005480269,1.036163631736489
32,7.641124401737015,7.0512154311263355,3.1216537524842876,1.087615082617834
33,7.616121425101634,7.052498382748832,3.1203837026017163,1.1126509529940591
34,7.590505048760069,7.05228917550459,3.0773787138676396,1.1382681836122153
