index,x,y,yaw
0,0.19242922925723693,-0.06339447431240501,0.1239558147322056
1,0.24288585213441713,-0.05710785140582793,0.08020377054341808
2,0.26404331982564616,-0.05763840668246295,0.020439251652559918
3,0.33781344287173104,-0.05516733225674476,0.01574061456825283
4,0.3879526466962585,-0.055687836628524265,0.0008376469385138528
5,0.4617560461019883,-0.055063512090315604,0.0014707536422304958
6,0.513905797418001,-0.055502590439780154,0.0010919049623153545
7,0.5657640564864355,-0.05494994518252265,-0.010670544589706418
8,0.6164909181003394,-0.05659727109154692,-0.015657884104451496
9,0.6685803929985462,-0.056559963041493244,-0.010170743098765117
10,0.7229372459875375,-0.057679946678655274,-0.011352245489008974
11,0.7754884382608527,-0.05777366155435837,-0.00030660795074344776
12,0.8273209393023162,-0.05771195154995646,0.0023840335594459716
13,0.8804700135247603,-0.057523381481640254,0.012077043074062831
14,0.9332043264373476,-0.05643313114799091,0.01452068257129281
15,0.9844406588832183,-0.056013550626108764,-0.003836464467471321
16,1.0374521588383898,-0.05683307621500211,0.0009402838680136829
17,1.090134901516821,-0.055914168005529286,0.013056366999395459
18,1.1426168609123095,-0.05545992924225426,0.005468036983595174
19,1.1955485789264992,-0.055337756374072164,0.013139907533190078
20,1.2489463701532144,-0.054062688907333,0.01929557881432305
21,1.300788223504465,-0.05330684446219465,0.019401951507037062
22,1.3520550515803198,-0.05206192821142997,0.016557862604654326
23,1.4020595625092585,-0.051629854286247445,0.010908591950317062
24,1.4523616442776253,-0.05096768111724559,0.031061926532133678
25,1.5022650362716892,-0.04851627778658347,0.027834256445355338
26,1.5524570084921463,-0.04818088135636665,0.010401409885339961
27,1.602250236118203,-0.047476253233722704,0.02396162268707934
28,1.652801785515298,-0.045775997390885954,0.04230779139189972
29,1.7029550724104119,-0.0432131101209176,0.028722361888007523
30,1.7775636327281426,-0.042191556721001215,0.02229903936055152
31,1.8276832144959514,-0.040431331278692,0.023396168760137885
32,1.8777495040885606,-0.03984716339309729,0.007193665616681619
33,1.9523071263742044,-0.039534813064155634,0.0054716421431165885
34,2.0031443583645796,-0.03916104077665224,0.013312142712513951
35,2.0554889056471723,-0.038161161349137905,0.00416353690866917
36,2.130863524927633,-0.038629274239987625,0.006100414321612059
37,2.1825035609625725,-0.03738630971472467,-0.039968542632963774
38,2.2330095833674584,-0.04271407870034852,-0.07311441902288898
39,2.282866236165954,-0.044737371976994414,-0.06214888905775658
40,2.3341961062152596,-0.049010817790132194,-0.09003532882654353
41,2.3844152309973916,-0.05390515496772986,-0.07841800530514043
42,2.4348488072742334,-0.05692002072682561,-0.02913036435589841
43,2.4866986408697156,-0.05688555104554448,-0.03740518100476821
44,2.5604442430807235,-0.06162013299124571,-0.05694673644373991
45,2.609248940479362,-0.06387194442182385,-0.09932178104221609
46,2.659419720898042,-0.07148300688925031,-0.11916434724653342
47,2.7090334825034623,-0.075819309270223,-0.08351965228850107
48,2.759738734957434,-0.07988115232658806,-0.07244538986015961
49,2.8101013715796603,-0.08315404810961018,-0.08773798367309589
50,2.8607495681448767,-0.08876645040680928,-0.10945706655437959
51,2.910197517400517,-0.09415424429771284,-0.09900589395590492
52,2.9604851073624245,-0.09867324715749447,-0.08522140722852047
53,3.0103197596219324,-0.10270751929728299,-0.10365845882402805
54,3.0610206648419203,-0.10913209533778322,-0.1316437753731662
55,3.11066376863005,-0.1159940243817305,-0.13388714634164461
56,3.160071867450869,-0.12247359248856,-0.127828985711426
57,3.210091171425721,-0.12877341049620472,-0.1120093729013028
58,3.2595773916050037,-0.13366599002393154,-0.09551264862125709
59,3.310309454521241,-0.13837473849672902,-0.10381923151753442
60,3.362124325614774,-0.14435074984206006,-0.11108817250768932
61,3.4114997714259703,-0.14966225563208743,-0.08549732146013994
62,3.4629895045876378,-0.15299552658469973,-0.07253010978894475
63,3.5136350234273497,-0.15708315407346063,-0.07122530003981038
64,3.565881514974218,-0.16033645871888955,-0.05243641513640509
65,3.618482973308072,-0.16258604917011438,-0.059859378915652184
66,3.6701876197471788,-0.16658762543126165,-0.05831801000481274
67,3.724242124693681,-0.16876071399807185,-0.03877298812981649
68,3.7793443538039977,-0.17082208034615676,-0.03151814089578729
69,3.831979917190751,-0.17215753378886026,-0.03876628430966184
70,3.884805894714019,-0.17491248168231902,-0.02900492142750879
71,3.938086874449036,-0.17523602109101383,-0.0012232303413789935
72,3.9917895819101683,-0.1750433474398011,-0.0022950910880693283
73,4.046038771028231,-0.1754837809618134,-0.014227687844365452
74,4.0980640315788355,-0.17655548916971803,-0.0161501741734625
75,4.148491719645203,-0.17713855779984453,-0.007289796710622744
76,4.202316223248277,-0.17731547991593005,-0.011198889475361372
77,4.2622255160110365,-0.1784123032643864,-0.016500605419103583
78,4.317163294050922,-0.17921069812158033,-0.009577979402304974
79,4.37243036740382,-0.17946787533983904,-0.005228632737179223
80,4.423917134005018,-0.17976887983062873,-0.016055082758139657
81,4.4768432174361825,-0.18114437633873862,-0.03528892821258407
82,4.53218249797303,-0.18359103520680817,-0.035137752441174376
83,4.589533109539878,-0.18510567629268163,-0.022348458690839037
84,4.643929897952942,-0.18608883321765599,-0.02398352632436829
85,4.695427744879527,-0.18764589013737906,-0.0339026210352238
86,4.75025144329131,-0.1896947939319956,-0.024819152508243986
87,4.8078057186013865,-0.19043558903845706,-0.029998963141423515
88,4.863028335648152,-0.19307899902127443,-0.05280410040939094
89,4.914867187766725,-0.1960941337733095,-0.030809689740147618
90,4.969842062604739,-0.19637093848494436,-0.018521589300617265
91,5.025002388414948,-0.1981342460189314,-0.011500898032780923
92,5.080517245771794,-0.19764385860512917,-0.06909713416565978
93,5.13500308612675,-0.20574709848146377,-0.08202697044982962
94,5.16217789126957,-0.20435729767317504,0.0028384497534301974
95,5.216285521630486,-0.20551638175283704,-0.03408521015933347
96,5.270139553247933,-0.2080386193763815,-0.15749590881838757
97,5.296240924711665,-0.2182141942371188,-0.1763673432512535
98,5.322659515285013,-0.21739867696706786,-0.0026931796574886594
99,5.37789453109832,-0.21843410260048118,-0.03410276634586496
100,5.432844078739033,-0.22115773276142614,-0.03642177475047766
101,5.488843742833022,-0.2224768575901875,-0.04889050755307472
