start_sec,end_sec,dt_sec,angle_command,speed_command,lidar_dx_m,lidar_dy_m,lidar_yaw_rad,lidar_arc_m,gyro_integral_raw_rad,icp_rmse_m,icp_inliers,icp_inlier_ratio,icp_seed_gain_span,accepted,rejection_reason
1784878234.3514493,1784878234.874418,0.5229687690734863,-5.0,3.0,0.06930488769017884,-0.011002811878158516,0.012372511309339784,0.07017330079034206,-0.0018854980234364266,0.01649345397576849,46,0.6865671641791045,0.027879851341901282,False,few_inliers
1784878234.874418,1784878235.3919291,0.5175111293792725,-5.0,3.0,0.18999297174513968,-0.004277532525792816,-0.0002852194390529036,0.19004111881877803,0.010911918139860987,0.03287867537054369,46,0.6571428571428571,1.4710455076283324e-15,False,few_inliers
1784878235.3919291,1784878235.9079902,0.5160610675811768,-5.0,3.0,0.11359374779802583,0.004589457817338632,-0.004754085419371817,0.11368652956551915,0.011882304829841872,0.028280963418380368,49,0.7205882352941176,0.02661718485792927,False,few_inliers
1784878235.9079902,1784878236.4259999,0.5180096626281738,-5.0,3.0,0.1492670036113133,-0.009172925810756273,0.005788820043219871,0.14954879935860477,0.009365368484129196,0.024429890628838682,50,0.7692307692307693,0.006942231619754172,False,few_inliers
1784878236.4259999,1784878236.942392,0.5163922309875488,-5.0,3.0,0.16370282102926675,-0.009652734207905836,0.002639561838511007,0.16398720835541097,0.013938486296777226,0.022792682338979797,51,0.7183098591549296,0.04971842637853327,False,few_inliers
1784878236.942392,1784878237.45757,0.5151779651641846,-5.0,3.0,0.13490041654995927,-0.00403555772177291,0.0005432414131343599,0.13496076674136823,0.011976013183593748,0.024787656373295237,59,0.7662337662337663,0.016709415518177465,False,initialization_sensitive
1784878237.45757,1784878237.976646,0.519075870513916,-5.0,3.0,0.17163205859553904,-0.0027313042674176335,-0.0006702371277017811,0.17165379303633685,0.011789952516555787,0.021359399688214518,58,0.7631578947368421,0.009140215807582966,True,
1784878237.976646,1784878238.49583,0.5191841125488281,-5.0,3.0,0.1556819447695792,0.0009008225057191262,0.0009146415579031031,0.15568455638930007,0.010690426826477051,0.02405781998324603,53,0.7681159420289855,0.0010234872283968605,False,few_inliers
1784878238.49583,1784878239.015376,0.5195460319519043,-5.0,3.0,0.1500614324139261,-0.008693624787209963,0.0053567679717444645,0.15031322841985933,0.012057659692223872,0.02219543502299892,57,0.75,0.01725999316848348,False,initialization_sensitive
1784878239.015376,1784878239.533636,0.5182600021362305,-5.0,3.0,0.15012991499391837,-0.0037083446373953727,-0.0008335639139914615,0.15017571209050035,0.010345140629355105,0.018737859171855435,52,0.7323943661971831,0.015254117532621361,False,few_inliers
1784878239.533636,1784878240.0502691,0.5166330337524414,-5.0,3.0,0.16956594938297465,0.0024323851475075457,-0.0025957240263498682,0.16958344210168205,0.012136849714771268,0.02196637318132272,57,0.76,0.006541174010356254,True,
1784878240.0502691,1784878240.5657911,0.5155220031738281,-5.0,3.0,0.17280969226847437,0.006107494112099744,-0.0008671485753267636,0.17291759048716068,0.010970977045192063,0.02989863489888475,64,0.8,0.04638328426413223,False,initialization_sensitive
1784878240.5657911,1784878241.0809922,0.5152010917663574,-5.0,3.0,0.14981344390434193,-0.005052323454631174,0.00031315203853382893,0.14989861283678219,0.012111635808519887,0.020610724563669875,60,0.759493670886076,0.05316301958989292,False,initialization_sensitive
