candidate,evaluation_lap,reason,lap_time_sec,steps,progress_m,max_abs_cte_m,mean_speed_command,max_speed_command
episode_0000,0,lap_complete,16.330000000000002,114,25.2384224930144,0.3078937542989176,19.6222377827293,23.337525367736816
episode_0000,1,lap_complete,16.685,117,25.32256252938528,0.32775337559161866,19.508993906852528,22.99744987487793
episode_0000,2,lap_complete,16.542999999999996,116,25.317065916031062,0.37010719696520095,19.45909389956244,23.238462448120117
episode_0000,3,off_track,11.218,79,17.303942170251837,0.4078990065363131,19.816640938384623,22.900086402893066
episode_0000,4,lap_complete,16.188000000000002,114,25.278560632067325,0.3222998239012185,19.625942857641924,23.73240089416504
episode_0000,5,lap_complete,16.046000000000003,113,25.307121662756252,0.29743995844641685,19.671959674463864,23.44338321685791
episode_0000,6,lap_complete,16.187,114,25.42929772545465,0.3427936240352931,19.665244780088727,23.787189483642578
episode_0000,7,lap_complete,16.047,113,25.248023102911173,0.32857700791560973,19.720863924617262,23.45481014251709
episode_0000,8,off_track,14.768000000000004,104,22.91182735569364,0.39027927191807477,19.41857681824611,23.000442504882812
episode_0000,9,lap_complete,16.331,115,25.367003792505262,0.30465327913479956,19.72435244684634,23.388500213623047
