index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
128,8.259364,0,0,0,0,0,,,9.000
129,8.325895,0,0,0,0,0,,,9.000
130,8.372884,0,0,0,0,0,,,9.000
131,8.412633,1,0,1,1,1,,,4.000
132,8.469537,1,0,0,1,0,,,7.000
133,8.516203,1,0,0,3,0,,,7.500
134,8.554543,1,0,1,1,1,,,4.000
135,8.627165,1,0,1,4,1,,,4.000
136,8.697155,1,0,1,3,1,,,4.500
137,8.733255,1,0,1,2,1,,,4.000
138,8.800499,1,0,1,1,1,,,4.000
139,8.842953,1,0,1,2,1,,,4.000
140,8.887338,1,0,1,1,1,,,4.000
141,8.962056,1,0,0,1,0,,,7.000
142,9.052891,1,0,0,1,0,,,7.000
143,9.182468,1,0,1,1,1,,,4.000
144,9.223164,1,0,1,1,1,,,4.000
145,9.254834,1,0,1,1,1,,,4.000
146,9.311532,1,0,1,1,1,,,4.000
147,9.351086,1,0,1,1,1,,,4.000
148,9.425688,1,0,1,1,1,,,4.000
149,9.507018,1,0,1,1,1,,,4.000
150,9.548519,1,0,1,1,1,,,4.000
151,9.577439,1,0,1,1,1,,,4.000
152,9.680240,1,0,1,1,1,,,4.000
153,9.723285,1,0,1,1,1,,,4.000
154,9.766963,1,0,1,1,1,,,4.000
155,9.840162,1,0,1,1,1,,,4.000
156,9.956066,1,0,1,1,1,,,4.000
157,9.995246,1,0,1,1,1,,,4.000
158,10.106015,1,0,1,1,1,,,4.000
159,10.143701,1,0,1,1,1,,,4.000
160,10.212700,1,0,1,1,1,,,4.000
161,10.256009,1,0,1,1,1,,,4.000
162,10.310010,1,0,1,1,1,,,4.000
163,10.353007,1,0,1,1,1,,,4.000
164,10.409833,1,0,1,1,1,,,4.000
165,10.475101,1,0,1,2,1,,,4.000
166,10.556406,1,0,1,2,1,,,4.000
167,10.582010,1,0,1,3,1,,,4.500
168,10.621971,1,0,1,2,1,,,4.000
169,10.767765,1,0,1,5,1,,,5.500
170,10.796238,1,0,1,6,1,,,6.000
171,10.829792,1,0,1,4,1,,,5.000
172,10.866352,1,0,1,7,1,,,6.000
173,10.946253,1,0,1,6,1,,,5.500
174,10.992956,1,0,1,4,1,,,4.500
175,11.027660,1,0,1,4,1,,,4.500
176,11.114316,1,0,1,3,1,,,4.500
177,11.148626,1,0,1,3,1,,,4.000
178,11.221042,1,0,0,3,0,,,7.500
179,11.304097,1,0,0,5,0,,,8.500
180,11.349325,1,0,0,4,0,,,7.500
181,11.425222,1,0,0,2,1,,,7.000
182,11.470776,2,1,1,2,1,0.45527343749999993,,3.000
183,11.541615,1,0,1,3,1,,,4.000
184,11.583528,2,1,1,3,1,0.473046875,0.2556640625,3.000
185,11.630074,2,1,1,2,1,0.473046875,0.25634765625,3.000
186,11.660366,2,1,1,2,1,0.48124999999999996,0.26249999999999996,3.000
187,11.775369,2,1,1,4,1,0.48398437499999997,0.26249999999999996,4.000
188,11.871728,2,1,1,4,1,0.56875,0.26044921875,4.000
189,11.904506,2,1,1,6,1,0.473046875,0.25839843749999997,5.000
190,11.989562,2,1,1,5,1,0.587890625,0.26796875,4.451
191,12.119789,1,0,1,7,1,,,6.000
192,12.161217,1,0,1,6,1,,,6.000
193,12.207808,2,1,1,4,1,0.62890625,0.2912109375,3.439
194,12.281951,1,0,1,2,1,,,4.000
195,12.353422,1,0,1,3,1,,,4.500
196,12.387005,1,0,1,3,1,,,4.500
197,12.423810,1,0,1,2,1,,,4.000
198,12.464448,1,0,1,2,1,,,4.000
199,12.586200,1,0,1,3,1,,,4.000
200,12.704354,1,0,1,2,1,,,4.000
201,12.735449,1,0,1,2,1,,,4.000
202,12.816842,1,0,1,2,1,,,4.000
203,12.854020,1,0,1,2,1,,,4.000
204,12.891099,1,0,1,2,2,,,4.000
205,12.950735,1,0,0,1,0,,,7.000
206,13.173057,1,0,0,1,0,,,7.000
207,13.219324,1,0,0,1,0,,,7.000
208,13.304663,1,0,0,1,0,,,7.000
209,13.337398,1,0,0,1,0,,,7.000
210,13.432584,1,0,0,1,0,,,7.000
211,13.468536,1,0,0,1,0,,,7.000
212,13.549179,1,0,0,1,0,,,7.000
213,13.663395,1,0,0,1,0,,,7.000
214,13.695840,1,0,0,1,0,,,7.000
215,13.733948,1,0,0,1,0,,,7.000
216,13.806075,1,0,0,1,0,,,7.000
217,13.904701,1,0,0,1,0,,,7.000
